Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,,,,,,,
T6_NACIONALITAT,,,,3,La d'un altre país,La de otro país,Another country,,,,,,,,
T6_NACIONALITAT,,,,4,Apàtrida,Apátrida,Stateless,,,,,,,,
T6_NACIONALITAT2,26. Quina nacionalitat té? (nacionalitat 2),26. ¿Cuál es su nacionalidad? (nacionalidad 2),26. What is your nationality? (nationality 2),,,,,,,,,,,,
T6_NACIONALITAT2,,,,1,Espanyola,Española,Spanish,,,,,,,,
T6_NACIONALITAT2,,,,2,La d'un país de la Unió Europea,La de un país de la Unión Europea,A European Union country,,,,,,,,
T6_NACIONALITAT2,,,,3,La d'un altre país,La de otro país,Another country,,,,,,,,
T6_NACIONALITAT2,,,,4,Apàtrida,Apátrida,Stateless,,,,,,,,
T6_SALUT,27. Quin és, en general, el seu estat de salut?,27. ¿Cuál es, en general, su estado de salud?,27. What is your general state of health?,,,,,,,,
T6_SALUT,,,,1,Molt bó,Muy bueno,Very good,,,,,,,,
T6_SALUT,,,,2,Bo,Bueno,Good,,,,,,,,
T6_SALUT,,,,3,Acceptable,Aceptable,Acceptable,,,,,,,,
T6_SALUT,,,,4,Dolent,Malo,Poor,,,,,,,,
T6_SALUT,,,,5,Molt dolent,Muy malo,Very poor,,,,,,,,
T6_ESTAT_CIVIL,28. Quin és el seu estat civil legal?,28. ¿Cuál es su estado civil legal?,28. What is your legal marital status?,,,,,,,,,,,,
T6_ESTAT_CIVIL,,,,1,Solter/a,Soltero/a,Single,,,,,,,,
T6_ESTAT_CIVIL,,,,2,Casat/ada,Casado/a,Married,,,,,,,,
T6_ESTAT_CIVIL,,,,3,Vidu/ídua,Viudo/a,Widow/widower,,,,,,,,
T6_ESTAT_CIVIL,,,,4,Divorciat/ada que s'ha tornat a casar,Divorciado/ada que se ha casado de nuevo,Divorced and remarried,,,,,,,,
T6_VIVINT,29. Actualment viu en parella?,29. ¿Actualmente vive en pareja?,29. Do you currently live as a couple?,,,,,,,,,,,,
T6_VIVINT,,,,1,Sí,Sí,Yes,,,,,,,,
T6_VIVINT,,,,6,No,No,No,,,,,,,,
T6_FILL_VIUEN,30. Té fills menors de 18 anys que no viuen amb vostè?,30. ¿Tiene hijos menores de 18 años que no viven con usted?,30. Do you have children under the age of 18 who do not live with you?,,,,,,,,,,,,
T6_FILL_VIUEN,,,,1,Sí,Sí,Yes,,,,,,,,
T6_FILL_VIUEN,,,,6,No,No,No,,,,,,,,
PES_INDIVIDUS_CALMAR,Factor elevació individus calibrat multiplicat per 1.000 (Factor elevació = PES_LLARS_CALMAR / 1.000),Factor elevación individuos calibrado multiplicado por 1.000 (Factor elevación = PES_LLARS_CALMAR / 1.000),Calibrated individuals inflation factor multiplied by 1,000 (Inflation factor = PES_LLARS_CALMAR / 1,000),,,,,,,,,,
