Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,,,,,,,
T2_CONTRACTE,,,,6,Contracte de treball temporal o de durada determinada,Contrato de trabajo temporal o de duración determinada,Temporary or fixed-term work contract,,,,,,,,
T2_HORARI,11. Té un horari flexible?,11. ¿Tiene un horario flexible?,11. Do you have a flexible timetable?,,,,,,,,,,,,
T2_HORARI,,,,1,Sí,Sí,Yes,,,,,,,,
T2_HORARI,,,,6,No,No,No,,,,,,,,
T2_VACANCES,12. Té un nombre de dies de vacances pagades fixades per contracte?,12. ¿Tiene un número de días de vacaciones pagadas fijadas por contrato?,12. Do you have a number of paid holidays set by contract?,,,,,,,,,,,,
T2_VACANCES,,,,1,Sí,Sí,Yes,,,,,,,,
T2_VACANCES,,,,6,No,No,No,,,,,,,,
T2_VAC_ANY_LAB,12.1 Nombre de dies de vacances laborals anuals,12.1 Número de días de vacaciones laborales anuales,12.1 Number of working days’ holidays per year,,,,,,,,,,,,
T2_VAC_ANY_NAT,12.2 Nombre de dies de vacances naturals anuals,12.2 Número de días de vacaciones naturales anuales,12.2 Number of calendar days’ holidays per year,,,,,,,,,,,,
T2_VAC_MES_LAB,12.3 Nombre de dies de vacances laborals mensuals,12.3 Número de días de vacaciones laborales mensuales,12.3 Number of working days’ holidays per month,,,,,,,,,,,,
T2_VAC_MES_NAT,12.4 Nombre de dies de vacances naturals mensuals,12.4 Número de días de vacaciones naturales mensuales,12.4 Number of calendar days’ holidays per month,,,,,,,,,,,,
T2_INGRES_NET,13. Indiqui en quin interval se situen els seus ingressos mensuals mitjans nets, pel que fa a la feina principal. Inclogui: la part proporcional mensual corresponent de les pagues extraordinàries i altres ingressos extraordinaris, sempre que es percebin regularment.,13. Indique en qué intervalo se sitúan sus ingresos mensuales medios netos, en lo que se refiere al trabajo principal. Incluya: la parte proporcional mensual correspondiente de las pagas extraordinarias y otros ingresos extraordinarios, siempre que se perciban regularmente. ,13. State the range of your average net monthly income from your main job. Include: the proportional monthly part of extra payments and other extra income, provided it is received regularly.,,,,,,,
T2_INGRES_NET,,,,1,400 € o menys,400 € o menos,400 € or less,,,,,,,,
T2_INGRES_NET,,,,2,De 401€ a 700€,De 401 € a 700 €,From 401 € to 700 €,,,,,,,,
T2_INGRES_NET,,,,3,De 701€ a 900€,De 701 € a 900 €,From 701 € to 900 €,,,,,,,,
T2_INGRES_NET,,,,4,De 901€ a 1000€,De 901 € a 1.000 €,From 901 € to 1.000 €,,,,,,,,
T2_INGRES_NET,,,,5,De 1001€ a 1100€,De 1.001 € a 1.100 €,From 1.001 € to 1.100 €,,,,,,,,
T2_INGRES_NET,,,,6,De 1101€ a 1300€,De 1.101 € a 1.300 €,From 1.101 € to 1.300 €,,,,,,,,
T2_INGRES_NET,,,,7,De 1301€ a 1400€,De 1.301 € a 1.400 €,From 1.301 € to 1.400 €,,,,,,,,
T2_INGRES_NET,,,,8,De 1401€ a 1700€,De 1.401 € a 1.700 €,From 1.401 € to 1.700 €,,,,,,,,
T2_INGRES_NET,,,,9,De 1701€ a 2200€,De 1.701 € a 2.200 €,From 1.701 € to 2.200 €,,,,,,,,
T2_INGRES_NET,,,,10,Més de 2200€,Más de 2.200 €,More than 2,200 € ,,,,,,,
T2_INGRES_NET,,,,98,No ho sap,No sabe,Don’t know,,,,,,,,
T2_INGRES_NET,,,,99,No contesta,No contesta,No answer,,,,,,,,
T2_TREBALL_SECUNDARI,14. La setmana passada, de dilluns a diumenge, a part de la seva feina principal, va realitzar algun altre treball remunerat (en metàl·lic o en espècies) per compte d’altri, per compte propi o com a ajuda familiar durant almenys una hora?,14. ¿La semana pasada, de lunes a domingo, aparte de su trabajo principal, realizó algún otro trabajo remunerado (en metálico o en especies) por cuenta ajena, por cuenta propia o como ayuda familiar durante al menos una hora?,14. Last week, from Monday to Sunday, apart from your main job, did you do any other paid work (in cash or in kind) as an employee, on a self-employed basis or as domestic help for at least one hour?
T2_TREBALL_SECUNDARI,,,,1,Sí,Sí,Yes,,,,,,,,
T2_TREBALL_SECUNDARI,,,,6,No,No,No,,,,,,,,
T2_H_TREBALL_SECU,15. Quin és, el nombre d’hores setmanals habitualment treballades al seu treball secundari?,15. ¿Cuál es el número de horas semanales habitualmente trabajadas en su trabajo secundario?,15. What is the number of weekly hours you usually work at your secondary job?,,,,,,,,,,,
T2_INGRES_MES_SECU,16. Indiqui en quin interval se situen els seus ingressos mensuals mitjans nets, pel que fa a la feina secundària. Inclogui: la part proporcional mensual corresponent de les pagues extraordinàries i altres ingressos extraordinaris, sempre que es percebin regularment,16. Indique en qué intervalo se sitúan sus ingresos mensuales medios netos, en lo que se refiere al trabajo secundario. Incluya: la parte proporcional mensual correspondiente de las pagas extraordinarias y otros ingresos extraordinarios, siempre que se perciban regularmente,16. State the range of your average net monthly income from your secondary job. Include: the proportional monthly part of extra payments and other extra income, provided it is received regularly.,,,,,,,
