CODI_LLAR 	CODI_PERSONA 	Sexe 	Edat 	T2_TREBALL 	T2_TREBALL_ABS 	T2_MOTIU_TREB 	T2_ACTIV_ESTABL 	T2_OCUP 	T2_HORES_TREB 	T2_JORNADA_PRIN 	T2_JORNADA_TIPUS 	T2_SIT_PROF 	T2_CONTRACTE 	T2_HORARI 	T2_VACANCES 	T2_VAC_ANY_LAB 	T2_VAC_ANY_NAT 	T2_VAC_MES_LAB 	T2_VAC_MES_NAT 	T2_INGRES_NET 	T2_TREBALL_SECUNDARI 	T2_H_TREBALL_SECU 	T2_INGRES_MES_SECU 	T2_CERCA_FEINA 	T2_COMEN_TREBALLAR 	T2_MESURES_TREBALLAR 	T2_MESURES1 	T2_MESURES2 	T2_MESURES3 	T2_MESURES4 	T2_MESURES5 	T2_MESURES6 	T2_MESURES7 	T2_MESURES8 	T3_SITUACIO_ACTIV 	T4_AJ_ALTRES1 	T4_AJ_ALTRES2 	T4_AJ_ALTRES3 	T4_AJ_ALTRES4 	T4_AJ_ALTRES5 	T4_AJ_ALTRES6 	T4_AJ_ALTRES7 	T4_AJ_ALTRES8 	T4_AJ_ALTRES9 	T4_AJ_ALTRES10 	T5_VOLUNTARIAT1 	T5_VOLUNTARIAT2 	T5_VOLUNTARIAT3 	T5_VOLUNTARIAT4 	T5_VOLUNTARIAT5 	T5_VOLUNTARIAT6 	T5_VOLUNTARIAT7 	T5_VOLUNTARIAT8 	T5_VOLUNTARIAT9 	T5_VOLUNTARIAT10 	T5_VOLUNTARIAT11 	T5_VOLUNTARIAT12 	T6_ESTUDI_ALT 	T6_PAIS_NAIX 	T6_NACIONALITAT 	T6_NACIONALITAT2 	T6_SALUT 	T6_ESTAT_CIVIL 	T6_VIVINT 	T6_FILL_VIUEN 	PES_INDIVIDUS_CALMAR
     0938 	          01 	   6 	  41 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          1 	          1 	          1 	          6 	          6 	          6 	          6 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             4 	        6 	            6 	             1234791
     0938 	          02 	   6 	  11 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       2 	             1 	          	              	             1086745
     0941 	          01 	   1 	  22 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   6 	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            7 	           1 	              1 	                 	       2 	             1 	        6 	            6 	             1299739
     0941 	          02 	   6 	  51 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                5 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       5 	             1 	        6 	            6 	             1212078
     0941 	          03 	   1 	  76 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                5 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       5 	             3 	        6 	            6 	             1561486
     0942 	          01 	   1 	  43 	         1 	               	              	             16 	     83 	           16 	              1 	               1 	          5 	           6 	        6 	          6 	               	               	               	               	            2 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           3 	              3 	                 	       2 	             2 	        6 	            1 	             2662436
     0942 	          02 	   1 	  37 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          6 	          6 	          1 	          1 	          6 	          6 	          6 	          6 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              1 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           3 	              3 	                 	       2 	             2 	        6 	            1 	             2662436
     0945 	          01 	   6 	  44 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                8 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           3 	              3 	                 	       2 	             2 	        1 	            6 	             2196722
     0945 	          02 	   1 	  46 	         1 	               	              	             43 	     25 	           40 	              1 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           3 	              3 	               1 	       2 	             2 	        1 	            6 	             1205183
     0945 	          03 	   1 	  13 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           3 	              1 	               3 	       2 	             1 	          	              	             1299739
     0945 	          04 	   6 	  11 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           3 	              1 	               3 	       2 	             1 	          	              	             1086745
     0946 	          01 	   1 	  41 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          1 	          1 	          1 	          1 	          1 	          1 	          6 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              1 	              1 	              6 	              6 	              1 	              1 	              1 	              1 	              1 	               6 	               1 	               6 	            4 	           3 	              1 	                 	       2 	             2 	        1 	            6 	             1298361
     0946 	          02 	   6 	  31 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          1 	          1 	          1 	          1 	          1 	          1 	          6 	                2 	            1 	            1 	            1 	            1 	            1 	            1 	            1 	            1 	            1 	             6 	              1 	              1 	              6 	              6 	              6 	              1 	              1 	              1 	              1 	               1 	               1 	               6 	            4 	           3 	              1 	                 	       2 	             2 	        1 	            6 	             1234791
     0947 	          01 	   6 	  53 	         1 	               	              	             91 	     91 	           20 	              6 	               1 	          6 	           6 	        6 	          1 	               	            18 	               	               	            2 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            6 	           1 	              1 	                 	       3 	             2 	        1 	            6 	             1212078
     0947 	          02 	   1 	  51 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   1 	          1 	          1 	          1 	          1 	          1 	          1 	          6 	          1 	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            7 	           1 	              1 	                 	       3 	             2 	        1 	            6 	             1205183
     0947 	          03 	   6 	  17 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   6 	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	          	              	             1086745
     0948 	          01 	   6 	  57 	         1 	               	              	             85 	     28 	           35 	              1 	               1 	          6 	           1 	        6 	          1 	               	            60 	               	               	            9 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1212078
     0948 	          03 	   6 	  18 	         1 	               	              	             88 	     35 	           40 	              1 	               1 	          5 	           6 	        6 	          6 	               	               	               	               	            3 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       2 	             1 	          	              	             1086745
     0951 	          01 	   6 	  41 	         1 	               	              	             22 	     34 	           40 	              1 	               6 	          5 	           1 	        1 	          1 	               	            30 	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1234791
     0951 	          02 	   1 	  46 	         1 	               	              	             84 	     52 	           35 	              1 	               1 	          6 	           1 	        6 	          1 	               	            30 	               	               	            9 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1205183
     0953 	          01 	   1 	  29 	         1 	               	              	             86 	     31 	           20 	              1 	               1 	          2 	             	          	            	               	               	               	               	            3 	                   1 	                2 	                 1 	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            1 	            1 	            6 	            6 	            6 	            1 	            1 	            6 	            6 	             6 	              6 	              6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           1 	              1 	                 	       1 	             1 	        1 	            6 	             1298361
     0953 	          02 	   6 	  32 	         1 	               	              	             86 	     31 	           20 	              1 	               1 	          2 	             	          	            	               	               	               	               	            3 	                   1 	                2 	                 1 	             3 	                   	                     	            	            	            	            	            	            	            	            	                1 	            1 	            1 	            6 	            6 	            6 	            1 	            1 	            6 	            6 	             6 	              6 	              6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       1 	             1 	        1 	            6 	             1234791
     0955 	          01 	   1 	  61 	         1 	               	              	             70 	     24 	           65 	              1 	               6 	          1 	             	          	            	               	               	               	               	           10 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            1 	            1 	            6 	            6 	            6 	            1 	            1 	            6 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1205183
     0955 	          02 	   6 	  59 	         1 	               	              	             88 	     29 	           30 	              1 	               6 	          1 	             	          	            	               	               	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1212078
     0955 	          03 	   1 	  33 	         1 	               	              	             95 	     30 	           20 	              6 	               1 	          5 	           1 	        1 	          1 	            32 	               	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       1 	             1 	        6 	            6 	             1298361
     0957 	          01 	   6 	  51 	         1 	               	              	             47 	     71 	           30 	              1 	               1 	          2 	             	          	            	               	               	               	               	            3 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1212078
     0957 	          02 	   1 	  59 	         1 	               	              	             47 	     71 	           50 	              1 	               6 	          1 	             	          	            	               	               	               	               	            3 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1205183
     0962 	          01 	   6 	  51 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                2 	            1 	            1 	            1 	            6 	            6 	            1 	            1 	            6 	            1 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1212078
     0962 	          02 	   1 	  53 	         1 	               	              	             28 	     81 	           40 	              1 	               1 	          5 	           1 	        6 	          1 	               	            30 	               	               	            7 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1205183
     0962 	          03 	   6 	  21 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             1 	                 1 	                   6 	            	            	            	            	            	            	            	            	                2 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           1 	              1 	                 	       1 	             1 	        6 	            6 	             1086745
     0963 	          01 	   1 	  26 	         1 	               	              	             93 	     35 	           30 	              6 	               1 	          5 	           6 	        6 	          6 	               	               	               	               	            5 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              1 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           1 	              1 	                 	       1 	             1 	        6 	            6 	             1298361
     0971 	          01 	   6 	  77 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       4 	             3 	        6 	            6 	             1597897
     0972 	          01 	   1 	  55 	         1 	               	              	             52 	     85 	           40 	              1 	               6 	          5 	           1 	        6 	          1 	               	            30 	               	               	            6 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       3 	             2 	        1 	            6 	             1205183
     0972 	          02 	   6 	  51 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                8 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1212078
     0972 	          03 	   1 	  23 	         1 	               	              	             94 	     51 	              	              6 	               1 	          5 	           6 	        6 	          6 	               	               	               	               	            1 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            5 	           1 	              1 	                 	       2 	             1 	        6 	            6 	             1299739
     0975 	          01 	   6 	  33 	         1 	               	              	             84 	     35 	              	              1 	               1 	          6 	           6 	        1 	          1 	               	            30 	               	               	            9 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            8 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1234791
     0975 	          02 	   1 	  36 	         1 	               	              	             84 	     70 	           35 	              1 	               1 	          6 	           1 	        6 	          1 	            23 	               	               	               	            8 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              1 	               6 	               6 	               6 	            7 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1298361
     0977 	          01 	   1 	  73 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1561486
     0977 	          02 	   6 	  66 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            3 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1597897
     0979 	          01 	   6 	  50 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                8 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             2 	        1 	            6 	             1212078
     0979 	          02 	   1 	  54 	         1 	               	              	             93 	     11 	           20 	              6 	               1 	          2 	             	          	            	               	               	               	               	           98 	                   6 	                  	                   	               	                   	                     	            	            	            	            	            	            	            	            	                1 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            9 	           3 	              1 	               3 	       1 	             2 	        1 	            6 	             1205183
     0979 	          03 	   6 	  86 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            2 	           1 	              1 	                 	       3 	             3 	        6 	            6 	             1597897
     0979 	          05 	   1 	  14 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                3 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            4 	           1 	              1 	                 	       1 	             1 	        6 	            6 	             1299739
     0980 	          01 	   1 	  69 	         6 	             6 	              	                	        	              	                	                 	            	             	          	            	               	               	               	               	              	                     	                  	                   	             3 	                   	                     	            	            	            	            	            	            	            	            	                4 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	            6 	             6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	              6 	               6 	               6 	               6 	            2 	           1 	              1 	                 	       2 	             2 	        1 	            6 	             1561486
