CODI_LLAR 	CODI_PERSONA 	T1_ID_SEC_TRIM 	T1_DATA_DIA 	T1_DATA_MES 	T1_DATA_ANY 	T2_HH_INICI 	T2_MM_INICI 	T6_HH_FI 	T6_MM_FI 	T7_QUAN 	T7_QUAN_TARD 	T7_TIPUS_DIA 	T7_INUSUAL_1 	T7_INUSUAL_2 	T7_INUSUAL_3 	T7_INUSUAL_4 	T7_VIATGE 	T7_VIATGE_KM 	T7_T_REMUNERAT 	curaper 	treball 	estudi 	llarfam 	volreun 	vidsoc 	esport 	aficc 	mitjcom 	trajecte 	curaper2 	treball2 	estudi2 	llarfam2 	volreun2 	vidsoc2 	esport2 	aficc2 	mitjcom2 	trajecte2 	dormir 	menjar 	altrecur 	trebprin 	altretreb 	estudis_ne 	estudis 	estudis_tll 	llarfam_ne 	culin 	mantllar 	confecc 	jardi 	repar 	compra 	gestio 	curanen 	curadul 	organit 	altllar 	particip 	sociabil 	cultura 	lleurepa 	exfis 	exprod 	altresp 	art   	informat 	jocs  	lectura 	Tele  	radio 	desplaç_fi 	desplaç_treb 	desplaç_est 	desplaç_llarfam 	desplaç_vol 	desplaç_vidsoc 	desplaç_tll 	desplaç_muni 	codis_aux 	total_hores_dia 	dormir2 	menjar2 	altrecur2 	trebprin2 	altretreb2 	estudis_ne2 	estudis2 	estudis_tll2 	llarfam_ne2 	culin2 	mantllar2 	confecc2 	jardi2 	repar2 	compra2 	gestio2 	curanen2 	curadul2 	organit2 	altllar2 	particip2 	sociabil2 	cultura2 	lleurepa2 	exfis2 	exprod2 	altresp2 	art2 	informat2 	jocs2 	lectura2 	tele2 	radio2 	desplaç_fi2 	desplaç_treb2 	desplaç_est2 	desplaç_llarfam2 	desplaç_vol2 	desplaç_vidsoc2 	desplaç_tll2 	desplaç_muni2 	codis_aux2 	aprin_6 	aprin_7 	aprin_8 	aprin_9 	aprin_10 	aprin_11 	aprin_12 	aprin_13 	aprin_14 	aprin_15 	aprin_16 	aprin_17 	aprin_18 	aprin_19 	aprin_20 	aprin_21 	aprin_22 	aprin_23 	aprin_24 	aprin_1 	aprin_2 	aprin_3 	aprin_4 	aprin_5 	DIM_MUN 	SectorsActivitats
775	2	3	13	8	10	23	30	10	0	2		2		             	1		1		1	45000	0	0	29400	0	1200	0	0	8400	2400	1			1		1			1	1	37800	5400	1800	0	0	0	0	0	5400	1200	0	0	0	0	3000	0	19800	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	8400	0	0	0	0	2400	0	0	0	0	0	86400	1	1	1			            			          1 	1					1		1					1				        						1					1						0	0	0	0	3	3	3	8	3	5	0	3	9	3	3	0	8	8	0	0	0	0	0	0	3	4
777	1	3	14	8	10	0	0	9	0	3		2		             		1	1		6	40800	0	0	12000	0	23400	0	0	0	10200	1			1		1				1	34800	3000	3000	0	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0	0	0	18600	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10200	0	0	86400	1	1	1			            			            	1													1	1		        														1			0	0	0	0	0	3	9	5	5	0	3	9	5	5	5	9	3	5	0	0	0	0	0	0	3	99
779	1	3	15	8	10	3	0	9	30	4	5	2		             	1		4	50	1	49200	0	0	21000	0	0	0	1800	14400	0	1			1				1	1		32400	15000	1800	0	0	0	0	0	0	16200	0	0	0	0	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	14400	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1					1											        				1		1											0	0	0	0	0	0	3	3	3	0	0	8	0	0	3	3	0	8	8	0	8	8	0	0	3	4
779	2	3	15	8	10	3	0	9	30	4	5	2		             	1		4	50	1	49200	0	0	13800	0	0	0	1800	21600	0	1			1				1	1		32400	15000	1800	0	0	0	0	0	0	9000	0	0	0	0	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	7200	14400	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1					1											        				1	1	1											0	0	0	0	0	0	3	3	3	0	0	8	0	0	8	3	0	8	8	0	8	8	0	0	3	2
781	1	3	23	8	10	0	0	6	15	2		1		             			1		1	30600	27600	0	2400	3600	1200	0	1800	10200	9000	1	1		1	1	1		1	1	1	24600	3600	1800	27600	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	3600	0	1200	0	0	0	0	0	0	1800	0	3000	7200	0	0	4200	0	1800	3000	0	0	0	0	86400	1	1	1	1		            			            									1		1		1				        			1		1	1			1		1	1					0	9	1	1	1	1	1	1	1	9	8	9	9	4	7	8	8	8	0	0	0	0	0	0	3	4
781	2	3	23	8	10	0	0	8	0	2		1		             			1		6	38400	0	0	19200	0	7200	0	2400	12600	6600	1			1		1		1	1	1	30600	5400	1800	0	0	0	0	0	0	8400	3600	4200	0	0	3000	0	0	0	0	0	0	7200	0	0	0	0	0	0	2400	0	1800	10800	0	0	0	0	4800	0	0	0	0	1800	86400	1	1	1			            			            	1	1	1			1							1				        			1		1	1					1					1	0	0	0	0	3	5	3	3	0	5	3	9	9	5	3	8	8	9	0	0	0	0	0	0	3	99
782	1	3	23	8	10	5	30	8	30	3		1		             			1		1	46800	10800	0	15000	0	0	0	0	7800	6000	1	1		1					1	1	37200	3600	4200	10800	0	0	0	0	0	1200	0	0	0	0	1200	0	12600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7800	0	0	3600	0	2400	0	0	0	0	0	86400	1	1	1	1		            			            	1					1		1									        						1			1		1						1	1	1	0	0	0	3	8	0	0	9	3	3	8	0	0	0	0	0	0	0	0	0	9	3	4
782	2	3	23	8	10	6	0	6	0	3		1		             			1		6	33000	0	0	34200	0	0	0	0	16800	2400	1			1					1	1	25200	3600	2400	0	0	0	0	0	0	12000	3600	3600	0	0	1200	0	13800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16800	0	0	0	0	2400	0	0	0	0	0	86400	1	1	1			            			            	1	1	1			1		1									        						1					1						0	3	8	0	3	3	3	3	0	8	9	3	3	3	0	8	8	0	0	0	0	0	0	0	3	99
784	1	3	23	8	10	12	30	7	30	4	3	2		             	1		5	1200	1	40200	0	0	0	0	42600	0	0	0	3600	1					1				1	28200	7800	4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	34200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	1200	86400	1	1	1			            			            													1	1			        														1		1	0	0	0	5	5	5	5	5	5	5	5	9	0	0	5	5	5	0	5	0	0	0	0	0	3	4
787	1	3	28	8	10	1	0	10	0	3		1		             			1		6	26400	0	0	6600	0	18600	18600	0	0	16200	1			1		1	1			1	10200	3600	10200	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	18600	0	0	18600	0	0	0	0	0	0	0	0	0	0	0	0	0	9600	6600	0	0	86400	1	1	1			            			            		1											1			1	        													1	1			0	0	0	3	0	9	6	6	6	6	0	6	6	9	0	9	9	5	5	5	5	5	9	0	3	99
