Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
TREBALL,Temps (en minuts) de treball remunerat,Tiempo (en minutos) de trabajo remunerado,Time (in minutes) spent on paid work,,,,,,
ESTUDI,Temps (en minuts) destinat a estudiar,Tiempo (en minutos) destinado a estudiar,Time (in minutes) spent on studying,,,,,,
LLARFAM,Temps (en minuts) destinat a activitats relacionades amb la llar i la família,Tiempo (en minutos) destinado a actividades relacionadas con el hogar y la familia,Time (in minutes) spent on activities related to the home and family,,,,,,
VOLREUN,Temps (en minuts) destinat a treball voluntari i reunions,Tiempo (en minutos) destinado a trabajo voluntario y reuniones,Time (in minutes) spent on volunteer work and meetings,,,,,,
VIDSOC,Temps (en minuts) destinat a vida social i diversió,Tiempo (en minutos) destinado a vida social y diversión,Time (in minutes) spent on social life and fun,,,,,,
ESPORT,Temps (en minuts) destinat a esports i activitats a l'aire lliure,Tiempo (en minutos) destinado a deportes y actividades al aire libre,Time (in minutes) spent on sport and outdoor activities,,,,,,
AFICC,Temps (en minuts) destinat a aficions i informàtica,Tiempo (en minutos) destinado a aficiones e informática,Time (in minutes) spent on hobbies and computers,,,,,,
MITJCOM,Temps (en minuts) destinat als mitjans de comunicació,Tiempo (en minutos) destinado a los medios de comunicación,Time (in minutes) spent on the media,,,,,,
TRAJECTE,Temps (en minuts) destinat a trajectes i ús del temps no especificat,Tiempo (en minutos) destinado a trayectos y uso del tiempo no especificado,Time (in minutes) spent on travel and unspecified time use,,,,,,
CURAPER2,Participa en activitats de cura personal,Participa en actividades de cuidado personal,Participates in personal care activities,,,,,,
CURAPER2,,,,1,Sí,Sí,Yes,,
CURAPER2,,,,6,No,No,No,,
TREBALL2,Participa en altres activitats de la feina,Participa en otras actividades del trabajo,Participates in other work activities,,,,,,
TREBALL2,,,,1,Sí,Sí,Yes,,
TREBALL2,,,,6,No,No,No,,
ESTUDI2,Participa en activitats d'estudi,Participa en actividades de estudio,Participates in study activities,,,,,,
ESTUDI2,,,,1,Sí,Sí,Yes,,
ESTUDI2,,,,6,No,No,No,,
LLARFAM2,Participa en activitats de la llar i la família,Participa en actividades del hogar y la familia,Participates in home and family activities,,,,,,
LLARFAM2,,,,1,Sí,Sí,Yes,,
LLARFAM2,,,,6,No,No,No,,
VOLREUN2,Participa en activitats i reunions de voluntariat,Participa en actividades y reuniones de voluntariado ,Participates in volunteer activities and meetings,,,,,,
VOLREUN2,,,,1,Sí,Sí,Yes,,
VOLREUN2,,,,6,No,No,No,,
VIDSOC2,Participa en activitats de vida social,Participa en actividades de vida social,Participates in social life activities,,,,,,
VIDSOC2,,,,1,Sí,Sí,Yes,,
VIDSOC2,,,,6,No,No,No,,
ESPORT2,Participa en activitats esportives,Participa en actividades deportivas,Participates in sport activities,,,,,,
ESPORT2,,,,1,Sí,Sí,Yes,,
ESPORT2,,,,6,No,No,No,,
AFICC2,Participa en activitats de lleure i informàtica,Participa en actividades de ocio e informática,Participates in leisure and computing activities,,,,,,
AFICC2,,,,1,Sí,Sí,Yes,,
AFICC2,,,,6,No,No,No,,
MITJCOM2,Participa en activitats dels mitjans de comunicació,Participa en actividades de los medios de comunicación,Participates in media activities,,,,,,
MITJCOM2,,,,1,Sí,Sí,Yes,,
MITJCOM2,,,,6,No,No,No,,
TRAJECTE2,Participa en activitats de trajectes o ús del temps no especificat,Participa en actividades de trayectos o uso del tiempo no especificado,Participates in travel activities or unspecified time use,,,,,,
TRAJECTE2,,,,1,Sí,Sí,Yes,,
TRAJECTE2,,,,6,No,No,No,,
DORMIR,Temps diari (en segons) de dormir,Tiempo diario (en segundos) de dormir,Daily sleeping time (in seconds),,,,,,
MENJAR,Temps diari (en segons) de menjar,Tiempo diario (en segundos) de comer,Daily eating time (in seconds),,,,,,
ALTRECUR,Temps diari (en segons) d'altra cura personal,Tiempo diario (en segundos) de otro cuidado personal,Daily other personal care time (in seconds),,,,,,
TREBPRIN,Temps diari (en segons) de feina principal i secundària,Tiempo diario (en segundos) de trabajo principal y secundario,Daily paid work time (in seconds),,,,,,
ALTRETREB,Temps diari (en segons) d'activitats relacionades amb la feina,Tiempo diario (en segundos) de actividades relacionadas con el trabajo,Daily other activities related to paid work time (activities),,,,,,
ESTUDIS_NE,Temps diari (en segons) d'estudis no especificats,Tiempo diario (en segundos) de estudios no especificados,Daily unspecified study time (in seconds),,,,,,
ESTUDIS,Temps diari (en segons) d'estudi a la escola o universitat,Tiempo diario (en segundos) de estudio en la escuela o universidad,Daily study activities at school, secondary scool or university time (in seconds),,,,,
ESTUDIS_TLL,Temps diari (en segons) d'estudi durant el temps lliure,Tiempo diario (en segundos) de estudio durante el tiempo libre,Daily study activities during free time (in seconds),,,,,,
LLARFAM_NE,Temps diari (en segons) d'activitats relacionades amb la llar i la família no especificades,Tiempo diario (en segundos) de actividades relacionadas con el hogar y la familia no especificadas,Daily unspecified household and family activities time (in seconds),,,,,,
CULIN,Temps diari (en segons) d'activitats culinàries,Tiempo diario (en segundos) de actividades culinarias,Daily culinary activities time (in seconds),,,,,,
MANTLLAR,Temps diari (en segons) de manteniment de la llar,Tiempo diario (en segundos) de mantenimiento del hogar,Daily home maintenance time (in seconds),,,,,,
CONFECC,Temps diari (en segons) de confecció i cura de roba,Tiempo diario (en segundos) de confección y cuidado de ropa,Daily clothing making and preparation time (in seconds),,,,,,
JARDI,Temps diari (en segons) de jardineria i cura d'animals,Tiempo diario (en segundos) de jardinería y cuidado de animales,Daily gardening and animal care time (in seconds),,,,,,
REPAR,Temps diari (en segons) de construcció i reparacions,Tiempo diario (en segundos) de construcción y reparaciones,Daily construction and repair time (in seconds),,,,,,
COMPRA,Temps diari (en segons) de compres i serveis,Tiempo diario (en segundos) de compras y servicios,Daily shopping and service time (in seconds),,,,,,
GESTIO,Temps diari (en segons) de gestions de la llar,Tiempo diario (en segundos) de gestiones del hogar,Daily home management time (in seconds),,,,,,
CURANEN,Temps diari (en segons) de cura de nens membres de la llar,Tiempo diario (en segundos) de cuidado de niños miembros del hogar,Daily care activities for child members of the household time (in seconds),,,,,,
CURADUL,Temps diari (en segons) de cura d'adults membres de la llar,Tiempo diario (en segundos) de ayuda a adultos miembros del hogar,Daily care activities for adult members time (in seconds),,,,,,
ORGANIT,Temps diari (en segons) de treballs voluntaris al servei d'una organització,Tiempo diario (en segundos) de trabajos voluntarios al servicio de una organización,Daily volunteer work activities for an organisation time (in seconds),,,,,,
ALTLLAR,Temps diari (en segons) d'ajudes informals a altres llars,Tiempo diario (en segundos) de ayudas informales a otros hogares,Daily informal activities to help other homes time (in seconds),,,,,,
PARTICIP,Temps diari (en segons) d'activitats participatives,Tiempo diario (en segundos) de actividades participativas,Daily participatory activities time (in seconds),,,,,,
SOCIABIL,Temps diari (en segons) de vida social,Tiempo diario (en segundos) de vida social,Daily social life time (in seconds),,,,,,
CULTURA,Temps diari (en segons) de diversió i cultura,Tiempo diario (en segundos) de diversión y cultura,Daily leisure and cultural time (in seconds),,,,,,
LLEUREPA,Temps diari (en segons) de lleure passiu,Tiempo diario (en segundos) de ocio pasivo,Daily passive leisure time (in seconds),,,,,,
EXFIS,Temps diari (en segons) d'exercici fisic,Tiempo diario (en segundos) de ejercicio físico,Daily physical exercise time (in seconds),,,,,,
EXPROD,Temps diari (en segons) d'exercici productiu,Tiempo diario (en segundos) de ejercicio productivo,Daily productive exercise time (in seconds),,,,,,
ALTRESP,Temps diari (en segons) d'activitats relacionades amb els esports,Tiempo diario (en segundos) de actividades relacionadas con el deporte,Daily other sport-related activities time (in seconds),,,,,,
ART,Temps diari (en segons) d'art i aficions,Tiempo diario (en segundos) de arte y aficiones,Daily art and hobby time (in seconds),,,,,,
INFORMAT,Temps diari (en segons) d'informàtica,Tiempo diario (en segundos) de informática,Daily computer time (in seconds),,,,,,
JOCS,Temps diari (en segons) de jocs,Tiempo diario (en segundos) de juegos,Daily gaming time (in seconds),,,,,,
LECTURA,Temps diari (en segons) de lectura,Tiempo diario (en segundos) de lectura,Daily reading time (in seconds),,,,,,
TELE,Temps diari (en segons) de televisió i vídeo,Tiempo diario (en segundos) de televisión y video,Daily TV, video or DVD watching time (in seconds),,,,,
RADIO,Temps diari (en segons) d'escoltar la ràdio o gravacions,Tiempo diario (en segundos) de escuchar la radio o grabaciones,Daily radio o recording listening time (in seconds),,,,,,
DESPLAÇ_FI,Temps diari (en segons) de trajectes amb finalitat especificada o no,Tiempo diario (en segundos) de trayectos con finalidad especificada o no,Daily travel activities for a specified or unspecified purpose time (in seconds),,,,,,
DESPLAÇ_TREB,Temps diari (en segons) de trajectes d'anada a la feina i tornada a casa,Tiempo diario (en segundos) de trayectos de ida al trabajo y vuelta a casa,Daily travel activities to and from work time (in seconds),,,,,,
DESPLAÇ_EST,Temps diari (en segons) de trajectes deguts a estudis,Tiempo diario (en segundos) de trayectos debidos a estudios,Daily travel activities due to studies time (in seconds),,,,,,
DESPLAÇ_LLARFAM,Temps diari (en segons) de trajectes deguts a activitats de la llar i la família,Tiempo diario (en segundos) de trayectos debidos a actividades del hogar y la familia,Daily travel activities due to home and family time (in seconds),,,,,,
DESPLAÇ_VOL,Temps diari (en segons) de trajectes deguts a treball voluntari i reunions,Tiempo diario (en segundos) de trayectos debidos a trabajo voluntario y reuniones,Daily travel activities due to volunteer work and meetings,,,,,,
DESPLAÇ_VIDSOC,Temps diari (en segons) de trajectes deguts a la vida social,Tiempo diario (en segundos) de trayectos debidos a la vida social,Daily travel activites due to social life time (in seconds),,,,,,
DESPLAÇ_TLL,Temps diari (en segons) de trajectes deguts a altres activitats de temps lliure,Tiempo diario (en segundos) de trayectos debidos a otras actividades de tiempo libre,Daily travel activities due to other leisure activities time (in seconds),,,,,,
DESPLAÇ_MUNI,Temps diari (en segons) de trajectes deguts a canvis de municipi,Tiempo diario (en segundos) de trayectos debidos a cambios de municipio,Daily travel activities for the purpose of changing municipality time (in seconds),,,,,,
CODIS_AUX,Temps diari (en segons) d'activitats com emplenar enquestes, temps lliure no especificat o altres,Tiempo diario (en segundos) de actividades como rellenar encuestas, tiempo libre no especificado u otros,Daily other activities such as completing surveys, unspecified free time or others time (in seconds),,,
TOTAL_HORES_DIA,Suma de tots els temps de les activitats realitzades,Suma de todos los tiempos de las actividades realizadas,Sum of all times of activities performed,,,,,,
DORMIR2,Participa en activitats de dormir,Participa en actividades de dormir,Participates in sleeping activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
MENJAR2,Participa en activitats de menjar,Participa en actividades de comer,Participates in eating activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
ALTRECUR2,Participa en activitats d'altres cures personals,Participa en actividades de otros cuidados personales,Participates in other personal care activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
TREBPRIN2,Participa en activitats de treball remunerat,Participa en actividades de trabajo remunerado,Participates in paid work activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
ALTRETREB2,Participa en altres activitats relacionades amb el treball remunerat,Participa en otras actividades relacionadas con el trabajo remunerado,Participates in other activities related to paid work,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
ESTUDIS_NE2,Participa en activitats d'estudis no especificats,Participa en actividades de estudios no especificados,Participates in unspecified study activities,,,,,,
