Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
APRIN_8,,,,2,Estudis,Estudios,Studying,,
APRIN_8,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_8,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_8,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_8,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_8,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_8,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_8,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_9,Activitat principal a les 9:00 (a un dígit),Actividad principal a las 9:00 (a un dígito),Main activity at 9:00 (one digit),,,,,,
APRIN_9,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_9,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_9,,,,2,Estudis,Estudios,Studying,,
APRIN_9,7,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_9,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_9,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_9,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_9,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_9,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_9,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_10,Activitat principal a les 10:00 (a un dígit),Actividad principal a las 10:00 (a un dígito),Main activity at 10:00 (one digit),,,,,,
APRIN_10,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_10,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_10,,,,2,Estudis,Estudios,Studying,,
APRIN_10,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_10,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_10,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_10,8,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_10,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_10,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_10,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_11,Activitat principal a les 11:00 (a un dígit),Actividad principal a las 11:00 (a un dígito),Main activity at 11:00 (one digit),,,,,,
APRIN_11,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_11,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_11,,,,2,Estudis,Estudios,Studying,,
APRIN_11,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_11,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_11,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_11,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_11,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_11,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_11,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_12,Activitat principal a les 12:00 (a un dígit),Actividad principal a las 12:00 (a un dígito),Main activity at 12:00 (one digit),,,,,,
APRIN_12,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_12,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_12,,,,2,Estudis,Estudios,Studying,,
APRIN_12,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_12,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_12,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_12,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_12,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_12,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_12,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_13,Activitat principal a les 13:00 (a un dígit),Actividad principal a las 13:00 (a un dígito),Main activity at 13:00 (one digit),,,,,,
APRIN_13,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_13,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_13,,,,2,Estudis,Estudios,Studying,,
APRIN_13,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_13,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_13,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_13,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_13,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_13,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_13,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_14,Activitat principal a les 14:00 (a un dígit),Actividad principal a las 14:00 (a un dígito),Main activity at 14:00 (one digit),,,,,,
APRIN_14,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_14,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_14,,,,2,Estudis,Estudios,Studying,,
APRIN_14,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_14,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_14,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_14,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_14,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_14,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_14,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_15,Activitat principal a les 15:00 (a un dígit),Actividad principal a las 15:00 (a un dígito),Main activity at 15:00 (one digit),,,,,,
APRIN_15,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_15,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_15,,,,2,Estudis,Estudios,Studying,,
APRIN_15,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_15,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_15,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_15,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_15,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_15,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_15,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_16,Activitat principal a les 16:00 (a un dígit),Actividad principal a las 16:00 (a un dígito),Main activity at 16:00 (one digit),,,,,,
APRIN_16,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_16,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_16,,,,2,Estudis,Estudios,Studying,,
APRIN_16,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_16,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_16,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_16,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_16,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_16,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_16,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_17,Activitat principal a les 17:00 (a un dígit),Actividad principal a las 17:00 (a un dígito),Main activity at 17:00 (one digit),,,,,,
APRIN_17,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_17,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_17,,,,2,Estudis,Estudios,Studying,,
APRIN_17,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_17,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_17,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_17,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_17,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_17,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_17,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_18,Activitat principal a les 18:00 (a un dígit),Actividad principal a las 18:00 (a un dígito),Main activity at 18:00 (one digit),,,,,,
APRIN_18,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_18,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_18,,,,2,Estudis,Estudios,Studying,,
APRIN_18,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_18,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_18,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_18,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_18,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_18,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_18,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_19,Activitat principal a les 19:00 (a un dígit),Actividad principal a las 19:00 (a un dígito),Main activity at 19:00 (one digit),,,,,,
APRIN_19,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_19,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_19,,,,2,Estudis,Estudios,Studying,,
APRIN_19,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_19,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_19,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_19,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_19,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_19,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_19,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_20,Activitat principal a les 20:00 (a un dígit),Actividad principal a las 20:00 (a un dígito),Main activity at 20:00 (one digit),,,,,,
APRIN_20,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_20,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_20,,,,2,Estudis,Estudios,Studying,,
APRIN_20,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_20,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_20,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_20,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_20,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_20,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_20,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_21,Activitat principal a les 21:00 (a un dígit),Actividad principal a las 21:00 (a un dígito),Main activity at 21:00 (one digit),,,,,,
APRIN_21,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_21,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_21,,,,2,Estudis,Estudios,Studying,,
APRIN_21,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_21,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_21,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_21,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_21,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_21,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_21,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_22,Activitat principal a les 22:00 (a un dígit),Actividad principal a las 22:00 (a un dígito),Main activity at 22:00 (one digit),,,,,,
APRIN_22,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_22,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_22,,,,2,Estudis,Estudios,Studying,,
APRIN_22,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_22,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_22,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_22,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_22,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_22,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_22,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_23,Activitat principal a les 23:00 (a un dígit),Actividad principal a las 23:00 (a un dígito),Main activity at 23:00 (one digit),,,,,,
APRIN_23,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_23,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_23,,,,2,Estudis,Estudios,Studying,,
APRIN_23,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_23,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_23,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_23,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_23,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_23,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_23,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_24,Activitat principal a les 24:00 (a un dígit),Actividad principal a las 24:00 (a un dígito),Main activity at 24:00 (one digit),,,,,,
APRIN_24,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_24,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_24,,,,2,Estudis,Estudios,Studying,,
APRIN_24,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_24,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_24,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_24,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_24,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_24,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_24,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_1,Activitat principal a les 1:00 (a un dígit),Actividad principal a las 1:00 (a un dígito),Main activity at 1:00 (one digit),,,,,,
APRIN_1,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_1,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_1,,,,2,Estudis,Estudios,Studying,,
APRIN_1,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_1,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_1,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_1,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_1,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_1,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_1,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_2,Activitat principal a les 2:00 (a un dígit),Actividad principal a las 2:00 (a un dígito),Main activity at 2:00 (one digit),,,,,,
APRIN_2,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_2,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_2,,,,2,Estudis,Estudios,Studying,,
APRIN_2,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_2,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_2,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_2,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_2,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_2,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_2,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_3,Activitat principal a les 3:00 (a un dígit),Actividad principal a las 3:00 (a un dígito),Main activity at 3:00 (one digit),,,,,,
APRIN_3,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_3,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_3,,,,2,Estudis,Estudios,Studying,,
APRIN_3,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_3,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_3,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_3,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_3,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_3,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_3,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_4,Activitat principal a les 4:00 (a un dígit),Actividad principal a las 4:00 (a un dígito),Main activity at 4:00 (one digit),,,,,,
APRIN_4,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_4,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_4,,,,2,Estudis,Estudios,Studying,,
APRIN_4,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_4,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_4,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_4,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_4,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_4,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_4,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_5,Activitat principal a les 5:00 (a un dígit),Actividad principal a las 5:00 (a un dígito),Main activity at 5:00 (one digit),,,,,,
APRIN_5,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_5,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
APRIN_5,,,,2,Estudis,Estudios,Studying,,
APRIN_5,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_5,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_5,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_5,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_5,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_5,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_5,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
DIM_MUN,Grandària municipal,Tamaño municipal,Size of municipality,,,,,,
DIM_MUN,,,,1,Menys de 20.000 habitants,Menos de 20.000 habitantes,Less than 20,000 inhabitants,
DIM_MUN,,,,2,De 20.000 a 100.000 habitants,De 20.000 a 100.000 habitantes,From 20,000 to 100,000 inhabitants
DIM_MUN,,,,3,Més de 100.000 habitants,Más de 100.000 habitantes,More than 100,000 inhabitants,
SECTORSACTIVITATS,Sectors activitats,Sectores actividades,Sectors of activity,,,,,,
SECTORSACTIVITATS,,,,1,Agricultura,Agricultura,Agriculture,,
SECTORSACTIVITATS,,,,2,Indústria,Industria,Industry,,
SECTORSACTIVITATS,,,,3,Construcció,Construcción,Construction,,
SECTORSACTIVITATS,,,,4,Seveis,Servicios,Services,,
SECTORSACTIVITATS,,,,99,No hi consta,No consta,N/A,,
