IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4337001 	     3370 	          01 	          1440 	         0 	       7 	        6 	       300 	       1 	        1 	       300 	       2 	        1 	       240 	       3 	        1 	       300 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6
   4337002 	     3370 	          02 	          3600 	         0 	       7 	        6 	       600 	       1 	        1 	       600 	       2 	        1 	       600 	       3 	        1 	       600 	       4 	        1 	       600 	       5 	        1 	       600 	       6 	        1
   4337301 	     3373 	          01 	           300 	         0 	       2 	        6 	         0 	       3 	        6 	         0 	       4 	        6 	         0 	       5 	        6 	         0 	       6 	        6 	         0 	       7 	        6 	       300 	       1 	        1
   4337501 	     3375 	          01 	          1440 	         0 	       2 	        6 	         0 	       3 	        6 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1
   4337701 	     3377 	          01 	          1920 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	         0 	       5 	        6
   4337801 	     3378 	          01 	          1290 	         0 	       7 	        6 	       240 	       1 	        1 	       450 	       2 	        1 	       360 	       3 	        1 	       240 	       4 	        1 	         0 	       5 	        6 	         0 	       6 	        6
   4337901 	     3379 	          01 	          3120 	         0 	       7 	        6 	       540 	       1 	        1 	       540 	       2 	        1 	       600 	       3 	        1 	       540 	       4 	        1 	       480 	       5 	        1 	       420 	       6 	        1
   4337902 	     3379 	          02 	          3120 	         0 	       7 	        6 	       600 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	       600 	       6 	        1
   4339601 	     3396 	          01 	          2880 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	       480 	       7 	        1
   4339602 	     3396 	          02 	          2100 	       420 	       1 	        1 	       420 	       2 	        1 	       420 	       3 	        1 	       420 	       4 	        1 	       420 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
