Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
MOTIU_ABSENT				3	Estudis	Estudios	Studying
MOTIU_ABSENT				4	Permís de maternitat o paternitat	Permiso de maternidad o paternidad	Maternity or paternity leave
MOTIU_ABSENT				5	Conflicte laboral	Conflicto laboral	Labour dispute
MOTIU_ABSENT				6	Altre motiu	Otro motivo	Another reason
SECTOR_ACT	"Codi del sector d'activitat de l'establiment de la seva feina principal

FILTRE:
[Edat membre de la llar > 15 anys] 
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Código del sector de actividad del establecimiento de su trabajo principal

FILTRO:
[Edad miembro del hogar > 15 años] 
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Code of the activity sector of the establishment of your main job

FILTER:
[Household member age > 15 years] 
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
SECTOR_ACT				1	Agricultura	Agricultura	Agriculture
SECTOR_ACT				2	Indústria	Industria	Industry
SECTOR_ACT				3	Construcció	Construcción	Construction
SECTOR_ACT				4	Seveis	Servicios	Services
MINUTS_TREBALL	"Nombre de minuts setmanals habitualment treballats en la seva feina principal

FILTER:
[Edat membre de la llar > 15 anys]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] "	"Número de minutos semanales habitualmente trabajados en su trabajo principal

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Number of weekly minutes usually worked in your main job

FILTER:
[Household member age > 15 years]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
TELETREBALL	"La setmana anterior va teletreballar en algun moment?

FILTRE:
[Edat membre de la llar > 15 anys]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿La semana anterior teletrabajó en algún momento?

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Did you telework at any time during the previous week?

FILTER:
[Household member age > 15 years]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
TELETREBALL				1	Tota la setmana	Toda la semana	All week
TELETREBALL				2	Algun dia	Algún día	Some day
TELETREBALL				3	En cap moment	En ningún momento	At no time
MINUTS_TELETREBALL	"Nombre de minuts totals de teletreball que va realitzar la setmana anterior

FILTRE:
[Edat membre de la llar > 15 anys]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )
+
[TELETREBALL =1 or 2]"	"Número de minutos totales de teletrabajo que realizó la semana anterior

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )
+
[TELETREBALL =1 or 2]"	"Total number of minutes of remote working carried out last week

FILTER:
[Household member age > 15 years]
+ 
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )
+
[TELETREBALL =1 or 2]"				
SIT_PROF	"Situació professional a la feina principal

FILTRE:
[Edat membre de la llar > 15 anys]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Situación profesional en el trabajo principal

FILTRO:
[Edad miembro del hogar > 15 años]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Employment status in your main job

FILTER:
[Household member age > 15 years]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
SIT_PROF				1	Treballador per compte propi	Trabajador por cuenta propia	Self-employed worker
SIT_PROF				2	Treballador per compte d'altri en el sector privat	Trabajador por cuenta ajena en el sector privado	Employee in the private sector
SIT_PROF				3	Treballador per compte d'altri en el sector públic	Trabajador por cuenta ajena en el sector público	Employee in the public sector
CONTRACTE	"Té un contracte de treball fix o temporal?

FILTRE:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿Tiene un contrato de trabajo fijo o temporal?

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Do you have a permanent or temporary work contract?

FILTER:
[Household member age > 15 years]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
CONTRACTE				1	Contracte de treball fix o per temps indefinit	Contrato de trabajo fijo o tiempo indefinido	Permanent or indefinite work contract
CONTRACTE				2	Contracte de treball temporal o de duració determinada	Contrato de trabajo temporal o de duración determinada	Temporary or fixed-term work contract
