Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
IDLLAR	Identificador únic de la llar	Identificador único del hogar	Unique household identifier				
IDPERSONA	Identificador únic de la  persona dins de la llar	Identificador único de la persona dentro del hogar	Unique identifier of the person within the household				
TRAM_HORARI	Hora. Interval de 10 minuts	Hora. Intervalo de 10 minutos	Time. 10-minute interval				
TRAM_HORARI				1	Interval: 0:00-0:10	Intervalo: 0:00-0:10	Interval: 0:00-0:10
TRAM_HORARI				2	Interval: 0:10-0:20	Intervalo: 0:10-0:20	Interval: 0:10-0:20
TRAM_HORARI				3	Interval: 0:20-0:30	Intervalo: 0:20-0:30	Interval: 0:20-0:30
TRAM_HORARI				4	Interval: 0:30-0:40	Intervalo: 0:30-0:40	Interval: 0:30-0:40
TRAM_HORARI				5	Interval: 0:40-0:50	Intervalo: 0:40-0:50	Interval: 0:40-0:50
TRAM_HORARI				6	Interval: 0:50-1:00	Intervalo: 0:50-1:00	Interval: 0:50-1:00
TRAM_HORARI				7	Interval: 1:00-1:10	Intervalo: 1:00-1:10	Interval: 1:00-1:10
TRAM_HORARI				8	Interval: 1:10-1:20	Intervalo: 1:10-1:20	Interval: 1:10-1:20
TRAM_HORARI				9	Interval: 1:20-1:30	Intervalo: 1:20-1:30	Interval: 1:20-1:30
TRAM_HORARI				10	Interval: 1:30-1:40	Intervalo: 1:30-1:40	Interval: 1:30-1:40
TRAM_HORARI				11	Interval: 1:40-1:50	Intervalo: 1:40-1:50	Interval: 1:40-1:50
TRAM_HORARI				12	Interval: 1:50-2:00	Intervalo: 1:50-2:00	Interval: 1:50-2:00
TRAM_HORARI				13	Interval: 2:00-2:10	Intervalo: 2:00-2:10	Interval: 2:00-2:10
TRAM_HORARI				14	Interval: 2:10-2:20	Intervalo: 2:10-2:20	Interval: 2:10-2:20
TRAM_HORARI				15	Interval: 2:20-2:30	Intervalo: 2:20-2:30	Interval: 2:20-2:30
TRAM_HORARI				16	Interval: 2:30-2:40	Intervalo: 2:30-2:40	Interval: 2:30-2:40
TRAM_HORARI				17	Interval: 2:40-2:50	Intervalo: 2:40-2:50	Interval: 2:40-2:50
TRAM_HORARI				18	Interval: 2:50-3:00	Intervalo: 2:50-3:00	Interval: 2:50-3:00
TRAM_HORARI				19	Interval: 3:00-3:10	Intervalo: 3:00-3:10	Interval: 3:00-3:10
TRAM_HORARI				20	Interval: 3:10-3:20	Intervalo: 3:10-3:20	Interval: 3:10-3:20
TRAM_HORARI				21	Interval: 3:20-3:30	Intervalo: 3:20-3:30	Interval: 3:20-3:30
TRAM_HORARI				22	Interval: 3:30-3:40	Intervalo: 3:30-3:40	Interval: 3:30-3:40
TRAM_HORARI				23	Interval: 3:40-3:50	Intervalo: 3:40-3:50	Interval: 3:40-3:50
TRAM_HORARI				24	Interval: 3:50-4:00	Intervalo: 3:50-4:00	Interval: 3:50-4:00
TRAM_HORARI				25	Interval: 4:00-4:10	Intervalo: 4:00-4:10	Interval: 4:00-4:10
TRAM_HORARI				26	Interval: 4:10-4:20	Intervalo: 4:10-4:20	Interval: 4:10-4:20
TRAM_HORARI				27	Interval: 4:20-4:30	Intervalo: 4:20-4:30	Interval: 4:20-4:30
TRAM_HORARI				28	Interval: 4:30-4:40	Intervalo: 4:30-4:40	Interval: 4:30-4:40
TRAM_HORARI				29	Interval: 4:40-4:50	Intervalo: 4:40-4:50	Interval: 4:40-4:50
TRAM_HORARI				30	Interval: 4:50-5:00	Intervalo: 4:50-5:00	Interval: 4:50-5:00
TRAM_HORARI				31	Interval: 5:00-5:10	Intervalo: 5:00-5:10	Interval: 5:00-5:10
TRAM_HORARI				32	Interval: 5:10-5:20	Intervalo: 5:10-5:20	Interval: 5:10-5:20
TRAM_HORARI				33	Interval: 5:20-5:30	Intervalo: 5:20-5:30	Interval: 5:20-5:30
TRAM_HORARI				34	Interval: 5:30-5:40	Intervalo: 5:30-5:40	Interval: 5:30-5:40
TRAM_HORARI				35	Interval: 5:40-5:50	Intervalo: 5:40-5:50	Interval: 5:40-5:50
TRAM_HORARI				36	Interval: 5:50-6:00	Intervalo: 5:50-6:00	Interval: 5:50-6:00
TRAM_HORARI				37	Interval: 6:00-6:10	Intervalo: 6:00-6:10	Interval: 6:00-6:10
TRAM_HORARI				38	Interval: 6:10-6:20	Intervalo: 6:10-6:20	Interval: 6:10-6:20
TRAM_HORARI				39	Interval: 6:20-6:30	Intervalo: 6:20-6:30	Interval: 6:20-6:30
TRAM_HORARI				40	Interval: 6:30-6:40	Intervalo: 6:30-6:40	Interval: 6:30-6:40
TRAM_HORARI				41	Interval: 6:40-6:50	Intervalo: 6:40-6:50	Interval: 6:40-6:50
TRAM_HORARI				42	Interval: 6:50-7:00	Intervalo: 6:50-7:00	Interval: 6:50-7:00
TRAM_HORARI				43	Interval: 7:00-7:10	Intervalo: 7:00-7:10	Interval: 7:00-7:10
TRAM_HORARI				44	Interval: 7:10-7:20	Intervalo: 7:10-7:20	Interval: 7:10-7:20
TRAM_HORARI				45	Interval: 7:20-7:30	Intervalo: 7:20-7:30	Interval: 7:20-7:30
TRAM_HORARI				46	Interval: 7:30-7:40	Intervalo: 7:30-7:40	Interval: 7:30-7:40
TRAM_HORARI				47	Interval: 7:40-7:50	Intervalo: 7:40-7:50	Interval: 7:40-7:50
TRAM_HORARI				48	Interval: 7:50-8:00	Intervalo: 7:50-8:00	Interval: 7:50-8:00
TRAM_HORARI				49	Interval: 8:00-8:10	Intervalo: 8:00-8:10	Interval: 8:00-8:10
TRAM_HORARI				50	Interval: 8:10-8:20	Intervalo: 8:10-8:20	Interval: 8:10-8:20
TRAM_HORARI				51	Interval: 8:20-8:30	Intervalo: 8:20-8:30	Interval: 8:20-8:30
TRAM_HORARI				52	Interval: 8:30-8:40	Intervalo: 8:30-8:40	Interval: 8:30-8:40
TRAM_HORARI				53	Interval: 8:40-8:50	Intervalo: 8:40-8:50	Interval: 8:40-8:50
TRAM_HORARI				54	Interval: 8:50-9:00	Intervalo: 8:50-9:00	Interval: 8:50-9:00
TRAM_HORARI				55	Interval: 9:00-9:10	Intervalo: 9:00-9:10	Interval: 9:00-9:10
TRAM_HORARI				56	Interval: 9:10-9:20	Intervalo: 9:10-9:20	Interval: 9:10-9:20
TRAM_HORARI				57	Interval: 9:20-9:30	Intervalo: 9:20-9:30	Interval: 9:20-9:30
TRAM_HORARI				58	Interval: 9:30-9:40	Intervalo: 9:30-9:40	Interval: 9:30-9:40
TRAM_HORARI				59	Interval: 9:40-9:50	Intervalo: 9:40-9:50	Interval: 9:40-9:50
TRAM_HORARI				60	Interval: 9:50-10:00	Intervalo: 9:50-10:00	Interval: 9:50-10:00
TRAM_HORARI				61	Interval: 10:00-10:10	Intervalo: 10:00-10:10	Interval: 10:00-10:10
TRAM_HORARI				62	Interval: 10:10-10:20	Intervalo: 10:10-10:20	Interval: 10:10-10:20
TRAM_HORARI				63	Interval: 10:20-10:30	Intervalo: 10:20-10:30	Interval: 10:20-10:30
TRAM_HORARI				64	Interval: 10:30-10:40	Intervalo: 10:30-10:40	Interval: 10:30-10:40
TRAM_HORARI				65	Interval: 10:40-10:50	Intervalo: 10:40-10:50	Interval: 10:40-10:50
TRAM_HORARI				66	Interval: 10:50-11:00	Intervalo: 10:50-11:00	Interval: 10:50-11:00
