encuesta_year,hogar_uid,persona_uid,id_hogar,n_pers,tramo_edad,sexo,nivel_estudios,situacion_laboral,estrato,estado_salud,trimestre,dia_semana,tipo_dia,internet_medicion,factor_elevacion,min_cuidados_personales,min_trabajo_remunerado,min_estudios,min_hogar_familia,min_voluntario_reuniones,min_vida_social_diversion,min_deportes_airelibre,min_aficiones_informatica,min_medios_comunicacion,min_trayectos_noespec,min_cp_dormir,min_cp_comer_beber,min_cp_higiene_salud,min_tr_actividad_laboral,min_tr_actividades_relacionadas,min_est_clases_formacion,min_est_estudio_tiempo_libre,min_hf_actividades_culinarias,min_hf_mantenimiento_hogar,min_hf_ropa,min_hf_jardineria_animales,min_hf_construccion_reparaciones,min_hf_compras_servicios,min_hf_gestiones_hogar,min_hf_cuidado_menores,min_hf_cuidado_adultos,min_vr_voluntariado_organizado,min_vr_ayuda_otros_hogares,min_vr_participacion_religion,min_vs_vida_social,min_vs_diversion_cultura,min_vs_ocio_pasivo,min_da_ejercicio_fisico,min_da_ejercicio_productivo,min_da_actividades_relacionadas,min_ai_arte_aficiones,min_ai_informatica,min_ai_juegos,min_mc_lectura,min_mc_television_video,min_mc_radio_grabaciones,min_tray_trabajo,min_tray_estudios,min_tray_hogar_familia,min_tray_voluntariado,min_tray_vida_social,min_tray_otro_ocio,min_tray_cambio_municipio,min_tray_otros_no_especificado,min_internet_total,min_internet_cuidados_personales,min_internet_trabajo_remunerado,min_internet_estudios,min_internet_hogar_familia,min_internet_voluntario_reuniones,min_internet_vida_social_diversion,min_internet_deportes_airelibre,min_internet_aficiones_informatica,min_internet_medios_comunicacion,min_internet_trayectos_noespec
2003,2003_09093,2003_09093_02,09093,02,25-44 años,Hombre,Educación superior,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Lunes-Jueves,Día habitual,Internet,1727.1733417254595,600.0,650.0,0.0,30.0,0.0,0.0,0.0,0.0,80.0,80.0,490.0,70.0,40.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09093,2003_09093_03,09093,03,25-44 años,Hombre,,Ocupado,Gran ciudad / Área densa,Muy bueno,Oct-Dic,Lunes-Jueves,,Internet,1727.1733417254595,630.0,160.0,0.0,100.0,0.0,0.0,0.0,60.0,390.0,100.0,550.0,60.0,20.0,0.0,160.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,390.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09094,2003_09094_01,09094,01,45-64 años,Mujer,Primaria o inferior,Ocupado,Gran ciudad / Área densa,Muy bueno,Oct-Dic,Lunes-Jueves,Día habitual,Internet,1531.0387590686,770.0,400.0,0.0,30.0,0.0,0.0,60.0,0.0,90.0,90.0,550.0,140.0,80.0,400.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,80.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09094,2003_09094_03,09094,03,25-44 años,Mujer,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Muy bueno,Oct-Dic,Lunes-Jueves,Día habitual,Internet,1665.10662909006,450.0,570.0,0.0,0.0,0.0,60.0,0.0,0.0,220.0,140.0,300.0,140.0,10.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09094,2003_09094_04,09094,04,10-24 años,Hombre,Educación superior,Ocupado,Gran ciudad / Área densa,Muy bueno,Oct-Dic,Lunes-Jueves,Día habitual,Internet,1837.74745840562,520.0,630.0,0.0,0.0,0.0,30.0,120.0,0.0,30.0,110.0,470.0,30.0,20.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09095,2003_09095_01,09095,01,45-64 años,Mujer,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Aceptable,Ene-Mar,Lunes-Jueves,Día habitual,Internet,1819.2983359799805,740.0,0.0,0.0,320.0,0.0,260.0,0.0,0.0,80.0,40.0,590.0,120.0,30.0,0.0,0.0,0.0,0.0,70.0,80.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09095,2003_09095_02,09095,02,45-64 años,Hombre,Primaria o inferior,Jubilado o prejubilado,Gran ciudad / Área densa,Aceptable,Ene-Mar,Lunes-Jueves,Día habitual,Internet,1753.62948713703,760.0,0.0,0.0,0.0,0.0,270.0,150.0,0.0,260.0,0.0,590.0,130.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,170.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09096,2003_09096_01,09096,01,45-64 años,Mujer,Educación superior,Ocupado,Gran ciudad / Área densa,Bueno,Abr-Jun,Viernes-Domingo,Día habitual,Internet,766.81431990324,700.0,0.0,0.0,40.0,0.0,350.0,160.0,0.0,160.0,30.0,450.0,210.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,70.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09097,2003_09097_01,09097,01,45-64 años,Hombre,Educación superior,Ocupado,Gran ciudad / Área densa,Bueno,Abr-Jun,Viernes-Domingo,Día habitual,Internet,943.54483770624,730.0,540.0,0.0,0.0,0.0,0.0,80.0,0.0,70.0,20.0,470.0,170.0,90.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09097,2003_09097_02,09097,02,45-64 años,Mujer,Primaria o inferior,Ocupado,Gran ciudad / Área densa,Bueno,Abr-Jun,Viernes-Domingo,Día habitual,Internet,877.1779080451349,690.0,0.0,0.0,170.0,0.0,210.0,210.0,0.0,70.0,90.0,520.0,140.0,30.0,0.0,0.0,0.0,0.0,140.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,150.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
