anio,tipo_cruce,valor_cruce,medio,porcentaje
2023,CCAA,Canarias,Cursos externos,77.13
2023,CCAA,Canarias,Formación en el puesto,56.96
2023,CCAA,Canarias,Rotación / intercambios,26.24
2023,CCAA,Canarias,Conferencias / seminarios,28.98
2023,CCAA,Cantabria,Cursos propios,31.8
2023,CCAA,Cantabria,Cursos externos,75.46
2023,CCAA,Cantabria,Formación en el puesto,58.61
2023,CCAA,Cantabria,Rotación / intercambios,19.86
2023,CCAA,Cantabria,Conferencias / seminarios,26.85
2023,CCAA,Castilla-La Mancha,Cursos propios,32.31
2023,CCAA,Castilla-La Mancha,Cursos externos,73.62
2023,CCAA,Castilla-La Mancha,Formación en el puesto,59.92
2023,CCAA,Castilla-La Mancha,Rotación / intercambios,22.67
2023,CCAA,Castilla-La Mancha,Conferencias / seminarios,28.12
2023,CCAA,Castilla y León,Cursos propios,31.78
2023,CCAA,Castilla y León,Cursos externos,71.78
2023,CCAA,Castilla y León,Formación en el puesto,56.99
2023,CCAA,Castilla y León,Rotación / intercambios,27.18
2023,CCAA,Castilla y León,Conferencias / seminarios,27.65
2023,CCAA,Cataluña,Cursos propios,35.73
2023,CCAA,Cataluña,Cursos externos,71.75
2023,CCAA,Cataluña,Formación en el puesto,59.73
2023,CCAA,Cataluña,Rotación / intercambios,26.98
2023,CCAA,Cataluña,Conferencias / seminarios,40.83
2023,CCAA,Comunitat Valenciana,Cursos propios,29.91
2023,CCAA,Comunitat Valenciana,Cursos externos,67.69
2023,CCAA,Comunitat Valenciana,Formación en el puesto,60.56
2023,CCAA,Comunitat Valenciana,Rotación / intercambios,28.96
2023,CCAA,Comunitat Valenciana,Conferencias / seminarios,32.16
2023,CCAA,Extremadura,Cursos propios,29.71
2023,CCAA,Extremadura,Cursos externos,74.61
2023,CCAA,Extremadura,Formación en el puesto,52.61
2023,CCAA,Extremadura,Rotación / intercambios,23.5
2023,CCAA,Extremadura,Conferencias / seminarios,30.8
2023,CCAA,Galicia,Cursos propios,30.26
2023,CCAA,Galicia,Cursos externos,74.33
2023,CCAA,Galicia,Formación en el puesto,52.91
2023,CCAA,Galicia,Rotación / intercambios,27.83
2023,CCAA,Galicia,Conferencias / seminarios,36.93
2023,CCAA,Madrid (Comunidad de),Cursos propios,41.93
2023,CCAA,Madrid (Comunidad de),Cursos externos,71.07
2023,CCAA,Madrid (Comunidad de),Formación en el puesto,63.0
2023,CCAA,Madrid (Comunidad de),Rotación / intercambios,28.93
2023,CCAA,Madrid (Comunidad de),Conferencias / seminarios,38.81
2023,CCAA,Murcia (Región de),Cursos propios,30.56
2023,CCAA,Murcia (Región de),Cursos externos,68.66
2023,CCAA,Murcia (Región de),Formación en el puesto,60.05
2023,CCAA,Murcia (Región de),Rotación / intercambios,27.97
2023,CCAA,Murcia (Región de),Conferencias / seminarios,30.07
2023,CCAA,Navarra (Comunidad Foral de),Cursos propios,34.98
2023,CCAA,Navarra (Comunidad Foral de),Cursos externos,74.09
2023,CCAA,Navarra (Comunidad Foral de),Formación en el puesto,55.39
2023,CCAA,Navarra (Comunidad Foral de),Rotación / intercambios,34.66
2023,CCAA,Navarra (Comunidad Foral de),Conferencias / seminarios,40.85
2023,CCAA,País Vasco,Cursos propios,37.06
2023,CCAA,País Vasco,Cursos externos,78.49
2023,CCAA,País Vasco,Formación en el puesto,54.33
2023,CCAA,País Vasco,Rotación / intercambios,23.55
2023,CCAA,País Vasco,Conferencias / seminarios,33.14
2023,CCAA,"Rioja, La",Cursos propios,32.82
2023,CCAA,"Rioja, La",Cursos externos,67.45
2023,CCAA,"Rioja, La",Formación en el puesto,60.63
2023,CCAA,"Rioja, La",Rotación / intercambios,25.79
2023,CCAA,"Rioja, La",Conferencias / seminarios,30.9
2024,Total,Total,Cursos propios,34.27
2024,Total,Total,Cursos externos,73.71
2024,Total,Total,Formación en el puesto,56.01
2024,Total,Total,Rotación / intercambios,27.38
2024,Total,Total,Conferencias / seminarios,35.09
2024,Tamaño,De 5 a 9 trabajadores,Cursos propios,27.22
2024,Tamaño,De 5 a 9 trabajadores,Cursos externos,65.99
2024,Tamaño,De 5 a 9 trabajadores,Formación en el puesto,51.14
2024,Tamaño,De 5 a 9 trabajadores,Rotación / intercambios,22.94
2024,Tamaño,De 5 a 9 trabajadores,Conferencias / seminarios,32.19
2024,Tamaño,De 10 a 49 trabajadores,Cursos propios,35.03
2024,Tamaño,De 10 a 49 trabajadores,Cursos externos,79.0
2024,Tamaño,De 10 a 49 trabajadores,Formación en el puesto,57.33
2024,Tamaño,De 10 a 49 trabajadores,Rotación / intercambios,29.28
2024,Tamaño,De 10 a 49 trabajadores,Conferencias / seminarios,34.0
2024,Tamaño,De 50 a 249 trabajadores,Cursos propios,58.78
2024,Tamaño,De 50 a 249 trabajadores,Cursos externos,84.14
2024,Tamaño,De 50 a 249 trabajadores,Formación en el puesto,70.51
2024,Tamaño,De 50 a 249 trabajadores,Rotación / intercambios,36.48
2024,Tamaño,De 50 a 249 trabajadores,Conferencias / seminarios,51.4
2024,Tamaño,De 250 a 499 trabajadores,Cursos propios,76.16
2024,Tamaño,De 250 a 499 trabajadores,Cursos externos,85.38
2024,Tamaño,De 250 a 499 trabajadores,Formación en el puesto,76.87
2024,Tamaño,De 250 a 499 trabajadores,Rotación / intercambios,46.7
2024,Tamaño,De 250 a 499 trabajadores,Conferencias / seminarios,57.8
2024,Tamaño,Más de 499 trabajadores,Cursos propios,85.45
2024,Tamaño,Más de 499 trabajadores,Cursos externos,84.96
2024,Tamaño,Más de 499 trabajadores,Formación en el puesto,80.05
2024,Tamaño,Más de 499 trabajadores,Rotación / intercambios,51.53
2024,Tamaño,Más de 499 trabajadores,Conferencias / seminarios,65.6
2024,Sector,Industria,Cursos propios,34.29
2024,Sector,Industria,Cursos externos,76.12
2024,Sector,Industria,Formación en el puesto,61.91
2024,Sector,Industria,Rotación / intercambios,36.08
2024,Sector,Industria,Conferencias / seminarios,33.87
2024,Sector,Construcción,Cursos propios,22.42
2024,Sector,Construcción,Cursos externos,84.77
2024,Sector,Construcción,Formación en el puesto,57.77
2024,Sector,Construcción,Rotación / intercambios,21.27
2024,Sector,Construcción,Conferencias / seminarios,23.03
2024,Sector,Comercio y reparación de vehículos,Cursos propios,38.68
2024,Sector,Comercio y reparación de vehículos,Cursos externos,71.45
2024,Sector,Comercio y reparación de vehículos,Formación en el puesto,54.4
2024,Sector,Comercio y reparación de vehículos,Rotación / intercambios,29.94
2024,Sector,Comercio y reparación de vehículos,Conferencias / seminarios,41.62
2024,Sector,Transporte y almacenamiento,Cursos propios,30.57
2024,Sector,Transporte y almacenamiento,Cursos externos,79.67
2024,Sector,Transporte y almacenamiento,Formación en el puesto,52.05
2024,Sector,Transporte y almacenamiento,Rotación / intercambios,24.26
2024,Sector,Transporte y almacenamiento,Conferencias / seminarios,20.42
2024,Sector,Hostelería,Cursos propios,25.97
2024,Sector,Hostelería,Cursos externos,68.14
2024,Sector,Hostelería,Formación en el puesto,54.37
2024,Sector,Hostelería,Rotación / intercambios,21.53
2024,Sector,Hostelería,Conferencias / seminarios,13.13
2024,Sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",Cursos propios,48.58
2024,Sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",Cursos externos,73.4
2024,Sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",Formación en el puesto,52.97
2024,Sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",Rotación / intercambios,31.79
2024,Sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",Conferencias / seminarios,63.62
2024,Sector,"Actividades profesionales, científicas y técnicas",Cursos propios,42.45
2024,Sector,"Actividades profesionales, científicas y técnicas",Cursos externos,68.3
2024,Sector,"Actividades profesionales, científicas y técnicas",Formación en el puesto,51.03
2024,Sector,"Actividades profesionales, científicas y técnicas",Rotación / intercambios,25.28
2024,Sector,"Actividades profesionales, científicas y técnicas",Conferencias / seminarios,59.22
2024,Sector,Actividades administrativas y servicios auxiliares,Cursos propios,36.37
2024,Sector,Actividades administrativas y servicios auxiliares,Cursos externos,74.83
2024,Sector,Actividades administrativas y servicios auxiliares,Formación en el puesto,60.2
2024,Sector,Actividades administrativas y servicios auxiliares,Rotación / intercambios,28.28
2024,Sector,Actividades administrativas y servicios auxiliares,Conferencias / seminarios,39.52
2024,Sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",Cursos propios,40.52
2024,Sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",Cursos externos,67.16
2024,Sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",Formación en el puesto,57.17
2024,Sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",Rotación / intercambios,24.52
2024,Sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",Conferencias / seminarios,43.23
2024,CCAA,Andalucía,Cursos propios,23.9
2024,CCAA,Andalucía,Cursos externos,76.82
2024,CCAA,Andalucía,Formación en el puesto,47.93
2024,CCAA,Andalucía,Rotación / intercambios,26.16
