medio,pct_2023,pct_2024,delta_pp,p_valor,significativo_alfa0.05
Cursos propios,33.51,34.27,0.8,0.3405,no
Cursos externos,72.12,73.71,1.6,0.0317,sí
Formación en el puesto,58.49,56.01,-2.5,0.0026,sí
Rotación / intercambios,26.92,27.38,0.5,0.5342,no
Conferencias / seminarios,34.06,35.09,1.0,0.1959,no
