anio,tema,desglose,corte,competencia_id,competencia,indicador,porcentaje,unidad,universo,archivo_origen,hoja_origen
2022,formacion_ofrecida,sector,Servicios,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,13.186681810030485,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,sector,Servicios,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,6.321358120628848,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,sector,Servicios,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,27.229362185426506,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,15.165337446392295,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,20.67470468738244,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,1.1229403355654202,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,direccion,Dirección,formacion_ofrecida,13.326687231961477,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,9.74813783763449,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,otras,Otras,formacion_ofrecida,21.273794296892635,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,resolucion_problemas,Resolución de problemas,formacion_ofrecida,11.211534120833647,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,42.33221728989542,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,12.882777819577157,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,5.840418328192009,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,10 a 49 trabajadores,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,22.02994507561508,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,11.715089034676664,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,18.134957825679475,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,4.404873477038426,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,direccion,Dirección,formacion_ofrecida,24.22680412371134,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,28.8659793814433,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,otras,Otras,formacion_ofrecida,13.87066541705717,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,resolucion_problemas,Resolución de problemas,formacion_ofrecida,15.55763823805061,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,53.608247422680414,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,20.89971883786317,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,8.200562324273664,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,250 a 499 trabajadores,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,29.053420805998126,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,16.6035148831306,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,26.921188427011053,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,1.9158614428252472,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,direccion,Dirección,formacion_ofrecida,12.50312670810906,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,4.658100258474537,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,otras,Otras,formacion_ofrecida,18.27201897332802,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,resolucion_problemas,Resolución de problemas,formacion_ofrecida,11.864815037844748,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,38.86475018760249,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,9.750697140104316,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,4.691451811637839,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,5 a 9 trabajadores,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,26.50985260466366,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,13.592233009708737,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,19.71700061970667,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,1.9004337946705225,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,direccion,Dirección,formacion_ofrecida,17.863044825449286,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,23.724437099772775,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,otras,Otras,formacion_ofrecida,18.880396612270193,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,resolucion_problemas,Resolución de problemas,formacion_ofrecida,12.456104110720926,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,51.260070233422844,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,17.677132823796736,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,7.286717620326379,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,50 a 249 trabajadores,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,23.02726709357571,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,11.254924029262803,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,28.86888013505909,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,4.558244231851435,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,direccion,Dirección,formacion_ofrecida,27.74338773213281,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
